nextMktCl,RP_ESS_MEAN,News_volumn,News_buzz
2003-10-23 16:00:00,0.52,5,-0.10931274561933403
2003-10-24 16:00:00,0.45599999999999996,11,0.41191687347534045
2003-10-28 16:00:00,,4,-0.2022295573736787
2003-10-29 16:00:00,,1,-0.4587779680714894
2003-10-31 16:00:00,0.044000000000000004,7,0.04627907342203537
2003-11-04 16:00:00,-0.010000000000000009,2,-0.39098589829676333
2003-11-05 16:00:00,0.65,1,-0.4587779680714894
2003-11-06 16:00:00,0.41,1,-0.4553301733285596
2003-11-08 16:00:00,,1,-0.4518954335186028
2003-11-11 16:00:00,,3,-0.25664556595761573
2003-11-12 16:00:00,0.56,3,-0.2506282830733646
2003-11-13 16:00:00,0.38999999999999996,5,-0.08957852858688128
2003-11-22 16:00:00,,1,-0.42347537484809883
2003-11-25 16:00:00,,1,-0.41688430475487676
2003-11-26 16:00:00,,1,-0.4042380642906888
2003-11-27 16:00:00,0.0,1,-0.4042380642906888
2003-11-28 16:00:00,,1,-0.3760165692749124
2003-12-09 16:00:00,-0.43,1,-0.3608430365224187
2003-12-12 16:00:00,,1,-0.35454429407590193
2003-12-16 16:00:00,-0.3433333333333333,9,0.31965017336138396
2003-12-17 16:00:00,,1,-0.3590200328605108
2003-12-18 16:00:00,0.4025000000000001,8,0.21971784142648057
2003-12-20 16:00:00,-0.255,2,-0.28494132041205933
2003-12-26 16:00:00,,9,0.3232609594308184
2003-12-27 16:00:00,,2,-0.2714648710585479
2004-01-06 16:00:00,0.0,3,-0.19176543521029613
2004-01-07 16:00:00,,4,-0.11175353021233761
2004-01-08 16:00:00,0.01,2,-0.28368203823131855
2004-01-09 16:00:00,,1,-0.3633109898027782
2004-01-13 16:00:00,0.0,2,-0.39114421043297976
2004-01-21 16:00:00,0.65,1,-0.6894996998299373
2004-01-22 16:00:00,0.34,5,0.8762612042254493
2004-01-27 16:00:00,0.0,5,0.8551457457612612
2004-01-28 16:00:00,0.2762222222222222,62,5.1569877133358535
2004-01-29 16:00:00,0.6856249999999999,21,1.367064858833403
2004-01-30 16:00:00,,1,-0.3748402344640416
2004-01-31 16:00:00,,1,-0.3748402344640416
2004-02-03 16:00:00,0.0,2,-0.29086486358157504
2004-02-04 16:00:00,0.49,2,-0.2940709249261486
2004-02-05 16:00:00,-0.49,5,-0.03787862686340687
2004-02-06 16:00:00,-0.49,1,-0.38101796562861057
2004-02-07 16:00:00,-0.49,1,-0.3684948563248155
2004-02-10 16:00:00,0.01999999999999999,2,-0.2846293741822437
2004-02-11 16:00:00,,1,-0.3717608152584408
2004-02-12 16:00:00,-0.24,2,-0.2878189631142445
2004-02-13 16:00:00,-0.48,1,-0.37503683072462163
2004-02-14 16:00:00,-0.51,4,-0.12237978924719914
2004-02-17 16:00:00,-0.43,3,-0.21601272010189304
2004-02-18 16:00:00,-0.51,3,-0.2222627212372626
2004-02-20 16:00:00,-0.4083333333333334,6,0.04979669183775795
2004-02-24 16:00:00,-0.49,2,-0.3049595192094519
